trdmn,mkt_rf,smb,hml,rmw,cma
199402,-0.005733448,-0.00979825,-0.030990519,0.009692457,0.004879554
199403,-0.140417362,0.101121891,0.044573569,-0.15574424,-0.070236096
199404,-0.168803863,0.052866421,0.037489512,0.011657809,-0.009700877
199405,-0.050044268,0.003394482,-0.007816317,0.054580226,-0.036817085
199406,-0.1576434,-0.013240454,0.016468234,0.026193585,0.018887061
199407,-0.245339974,-0.118368638,0.105771546,0.085873024,-0.064570423
199408,1.126362308,0.374269595,-0.404816759,-0.338384926,0.524101347
199409,0.05075964,0.173406646,0.147367847,0.007490122,0.034219855
199410,-0.209376151,0.038891704,-0.002298847,-0.014199637,0.033685652
199411,0.028550484,0.019204127,-0.032660917,-0.023717651,0.021682342
199412,-0.065554535,0.010548396,-0.00326143,-0.009972573,0.001417542
199501,-0.131828842,-0.034582942,0.015578444,0.035797601,-0.046825744
199502,-0.025635046,-0.000629284,0.028025255,0.009934037,0.018477574
199503,0.121853737,0.034073105,-0.058546876,-0.029490442,0.043233285
199504,-0.117091474,0.01450233,0.008670986,-0.007906047,-0.009751469
199505,0.15127026,0.090739285,-0.11196654,-0.070631934,0.10232602
199506,-0.090082862,-0.026686026,0.028960926,0.017053778,-0.009398571
199507,0.059653912,-0.005305571,0.036482943,0.074198778,0.032370575
199508,0.048676408,-0.036938979,0.137720648,0.013221643,0.032354226
199509,-0.010066321,-0.012009478,0.077972892,0.029775456,0.052458262
199510,0.005800018,0.005088647,0.056247439,0.027609804,0.039283943
199511,-0.087035426,0.009634592,-0.081959597,-0.046621061,-0.030134657
199512,-0.119050503,-0.009106588,0.014173599,-0.030284532,-0.006840184
199601,-0.044621569,0.003543677,0.084139371,0.029707912,0.035323404
199602,0.020892522,-0.012137724,-0.029700349,0.012917363,-0.010123057
199603,-0.006803541,0.003049735,0.002756475,0.025556364,0.010486407
199604,0.305608571,0.035666359,0.067883457,-0.161650401,0.003292113
199605,-0.040935333,-0.09128146,0.055703169,0.01052715,0.036177946
199606,0.208600005,-0.126517865,0.073689645,0.136294571,0.118739568
199607,0.184270819,0.036287365,0.254207464,-0.019863377,0.01156818
199608,0.003008499,-0.075924043,0.028714859,0.033207079,-0.033903496
199609,0.044754357,0.000662408,0.022344236,-0.097250524,0.012669089
199610,0.274764553,0.142345569,0.327177463,-0.226292749,0.163837359
199611,0.086346601,0.042957359,0.072552833,0.002176037,0.007933665
199612,-0.212681795,-0.085783511,-0.113539003,0.139289955,-0.063749964
199701,0.093638266,0.038246936,0.058240694,-0.038735823,0.005651305
199702,0.067342704,0.03346191,-0.031456414,-0.042968626,0.016140267
199703,0.191756105,0.024060648,-0.037928596,0.057518783,-0.094089343
199704,0.110803336,-0.079280859,-0.045854307,0.114777425,-0.151464359
199705,-0.086131224,-0.049294883,0.038342855,0.094483621,-0.045349786
199706,0.00886048,-0.023474548,0.009775773,0.055516631,-0.075720861
199707,-0.089252549,0.049451911,0.037456072,-0.032424004,-0.002304067
199708,-0.002554936,0.019627271,0.100792365,-0.1055561,0.0735812
199709,-0.133943243,0.036845342,-0.031352418,0.015592336,-0.00520216
199710,0.120344291,-0.044937582,-0.039035017,0.035228903,-0.002125443
199711,-0.054623749,0.033137626,-0.020126349,0.021334476,-0.011683101
199712,0.042398146,0.042219683,-0.048750629,0.047480708,-0.066518227
199801,0.025720115,0.033166977,-0.002646086,0.008039467,-0.003508435
199802,-0.020782519,0.0238974,0.044383039,-0.079609089,0.038236283
199803,0.026244676,0.049067793,0.009651755,-0.032576502,0.058222611
199804,0.085051538,0.062438847,-0.002843374,-0.005767427,0.016208713
199805,0.06321903,0.073177916,0.036358878,-0.085004902,0.048651175
199806,-0.078245298,0.01069887,-0.029595524,0.012764581,0.004373992
199807,-0.01294068,0.030517457,0.022185396,-0.019118299,0.025876899
199808,-0.12962574,0.026739998,-0.008487404,-0.030909847,0.015028917
199809,0.072836645,0.088014367,0.00574375,-0.054584435,0.043629207
199810,-0.014168281,0.047212103,-0.04512125,-0.00711954,-0.005544161
199811,0.012496753,-0.017620339,-0.026495592,0.034227333,-0.022684427
199812,-0.090813317,-0.027001964,-0.004753416,0.029957287,-0.015985185
